index,name,area,span_z,span_y,u_avg,k_enh,skew_g,skew_l
0,ellipse_0000,125.57936084745,1.99974825534775,79.9798616953274,0.502368534712978,3.42884558391036,0.022001173815277,-14.7648616482044
1,ellipse_0001,62.7896804232452,1.99974825534775,39.9899308476637,0.501400122342455,0.886949194674062,0.00545787937365,-7.46321207028666
2,ellipse_0002,41.8597869492536,1.99974825534775,26.6599538984425,0.499251709359519,0.3875833744917,0.000120289060955,-4.93338846622728
3,ellipse_0003,31.3948402142306,1.99974825534775,19.9949654238318,0.494810650681948,0.216828130096223,0.00177726935205,-3.52658808002831
4,ellipse_0004,25.1158721701841,1.99974825534775,15.9959723390655,0.49283750618568,0.137799973832059,-0.002739269490227,-2.76955723664698
5,ellipse_0005,20.9298934734678,1.99974825534775,13.3299769492212,0.489955507442603,0.09654088666537,0.002675608502977,-2.14803836518425
6,ellipse_0006,17.9399086959957,1.99974825534775,11.4256945279039,0.484866736451604,0.07074727365054,0.005619195410744,-1.72571305317008
7,ellipse_0007,15.697420107743,1.99974825534775,9.99748271191593,0.48092879018665,0.053860155271363,0.001412547392114,-1.41663576669299
8,ellipse_0008,13.9532623158644,1.99974825534775,8.88665129948082,0.476223132379779,0.042400678850106,0.000240732577691,-1.15637291343156
9,ellipse_0009,12.5579360840917,1.99974825534775,7.99798616953274,0.471833278929745,0.034368133133716,-0.000176157196215,-0.939765710964356
10,ellipse_0010,11.4163055317631,1.99974825534775,7.27089651775704,0.465348830756426,0.028268160815333,0.000950700394257,-0.768790282105727
11,ellipse_0011,10.4649467363204,1.99974825534775,6.66498847461062,0.459965775431091,0.023505458883996,-0.003052447358337,-0.625066925584391
12,ellipse_0012,9.65995083252192,1.99974825534775,6.15229705348672,0.453565225775365,0.020051350663501,7.78421715010936E-05,-0.499110851980757
13,ellipse_0013,8.96995434772999,1.99974825534775,5.71284726395196,0.445697206708709,0.017076428459027,0.00036399685283,-0.391771445293101
14,ellipse_0014,8.37195738910385,1.99974825534775,5.33199077968849,0.439229071969043,0.014805817964827,0.001667049600717,-0.291944982585751
15,ellipse_0015,7.84871004965639,1.99974825534775,4.99874135595796,0.431291966127491,0.01284631649099,0.000200872416244,-0.214819125542728
16,ellipse_0016,7.38702122609352,1.99974825534775,4.70469774678396,0.42410170769558,0.011263548598849,7.62062514131831E-05,-0.142201814563417
17,ellipse_0017,6.97663115607775,1.99974825534775,4.44332564974041,0.416694401391798,0.009952951626117,-0.000350785253749,-0.08169089516209
18,ellipse_0018,6.60944004341583,1.99974825534775,4.20946640501723,0.408619805349041,0.008842302505355,1.21033973311195E-05,-0.029163727005043
19,ellipse_0019,6.27896804516257,1.99974825534775,3.99899308476637,0.400524421338104,0.007866307034668,0.00015986480179,0.015934069640672
20,ellipse_0020,5.97996956217819,1.99974825534775,3.80856484263464,0.392543218607383,0.00702805241114,-0.000181506925069,0.056298102971197
21,ellipse_0021,5.70815276472163,1.99974825534775,3.63544825887852,0.384440035685708,0.006326600884622,1.31925091273743E-05,0.090182158921343
22,ellipse_0022,5.45997221212479,1.99974825534775,3.47738529110119,0.376576133360358,0.005707304320818,0.000380460808125,0.121159187151108
23,ellipse_0023,5.23247337057753,1.99974825534775,3.33249423730531,0.367994611925426,0.005147805451467,0.000145365137064,0.145408579581392
24,ellipse_0024,5.02317443292194,1.99974825534775,3.1991944678131,0.360247500617439,0.004676231078781,0.001276267125568,0.168568410547401
25,ellipse_0025,4.82997541659104,1.99974825534775,3.07614852674336,0.352404896682747,0.004250668215122,0.000588775384214,0.186135401070961
26,ellipse_0026,4.65108744202171,1.99974825534775,2.96221709982694,0.344074474665377,0.003855421097852,-0.000145546567656,0.200792387790818
27,ellipse_0027,4.4849771693342,1.99974825534775,2.85642363197598,0.336393078284062,0.003521833646179,2.36442147084878E-05,0.214186376032669
28,ellipse_0028,4.3303227879063,1.99974825534775,2.75792626535612,0.328220578011498,0.003208089976307,-0.000136032374315,0.22402421596216
29,ellipse_0029,4.18597869361053,1.99974825534775,2.66599538984425,0.320639785257306,0.002941403558244,-0.000323115810755,0.232591514779358
30,ellipse_0030,4.05094712443419,1.99974825534775,2.57999553855895,0.312950050348023,0.002698076061331,0.000690170519662,0.240018883037026
31,ellipse_0031,3.92435502882875,1.99974825534775,2.49937067797898,0.305522602337432,0.002477714489222,0.00026482313496,0.245071707384945
32,ellipse_0032,3.80543517557378,1.99974825534775,2.42363217258568,0.298049604875097,0.002276742305747,0.000698636606849,0.249180659394987
33,ellipse_0033,3.69351061395974,1.99974825534775,2.35234887339198,0.290733936678543,0.002094063864192,0.000369464451812,0.250968125046552
34,ellipse_0034,3.58798173572584,1.99974825534775,2.28513890558078,0.28367210193326,0.001929962877838,0.000147303351133,0.252178192731133
35,ellipse_0035,3.48831557849538,1.99974825534775,2.22166282487021,0.276804377071301,0.001783323552265,-0.000490612376091,0.251946424739305
36,ellipse_0036,3.3940367804717,1.99974825534775,2.1616178836575,0.270079271503688,0.001648621404651,-0.000374667571547,0.25135592133572
37,ellipse_0037,3.30472002048939,1.99974825534775,2.10473320250862,0.263294986622288,0.00152360220846,-0.000283159727759,0.249981965273942
38,ellipse_0038,3.21998361072665,1.99974825534775,2.05076568449557,0.256660703039596,0.001409271953011,-0.000114508104549,0.24772172684915
39,ellipse_0039,3.13948402052049,1.99974825534775,1.99949654238319,0.250343339275673,0.001308184411531,0.001108907743229,0.245895231246292
